Fecha;Nuquí sur CHIRPS;Nuquí sur TRMM;Nuquí centro CHIRPS;Nuquí centro TRMM;Nuquí norte CHIRPS;Nuquí norte TRMM;Bahía Solano sur CHIRPS;Bahía Solano sur TRMM;Bahía Solano centro CHIRPS;Bahía Solano centro TRMM;Bahía Solano norte CHIRPS;Bahía Solano norte TRMM
25/05/1981;0,00;;0,00;;36,84;;17,88;;26,13;;40,68;
26/05/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
27/05/1981;54,68;;48,50;;74,93;;42,96;;47,20;;50,54;
28/05/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
29/05/1981;0,00;;10,61;;0,00;;12,53;;0,00;;11,06;
30/05/1981;10,41;;12,12;;68,51;;57,28;;53,95;;50,54;
31/05/1981;27,34;;31,83;;44,96;;25,06;;23,60;;55,28;
01/06/1981;39,07;;47,87;;41,91;;29,00;;39,53;;38,73;
02/06/1981;23,44;;15,96;;33,53;;21,75;;15,81;;6,45;
03/06/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
04/06/1981;0,00;;0,00;;8,38;;14,50;;7,91;;12,91;
05/06/1981;15,63;;23,94;;16,76;;14,50;;23,72;;19,36;
06/06/1981;26,51;;44,15;;42,87;;31,19;;34,13;;33,48;
07/06/1981;0,00;;0,00;;0,00;;9,10;;0,00;;5,86;
08/06/1981;33,14;;48,28;;57,16;;45,48;;44,79;;33,48;
09/06/1981;0,00;;9,66;;0,00;;0,00;;7,47;;11,72;
10/06/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
11/06/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
12/06/1981;31,71;;49,11;;33,00;;26,51;;19,75;;15,74;
13/06/1981;6,94;;9,82;;24,75;;10,60;;7,90;;7,87;
14/06/1981;13,87;;0,00;;0,00;;0,00;;0,00;;0,00;
15/06/1981;20,81;;19,64;;24,75;;15,91;;7,90;;11,80;
16/06/1981;24,27;;30,29;;26,66;;11,44;;24,54;;19,57;
17/06/1981;0,00;;0,00;;0,00;;11,40;;3,07;;2,85;
18/06/1981;15,93;;13,25;;4,44;;2,96;;6,13;;5,71;
19/06/1981;0,00;;0,00;;0,00;;5,48;;0,00;;0,00;
20/06/1981;15,93;;26,50;;13,33;;8,92;;15,33;;11,42;
